edition,stage,model_brier,base_brier,skill_%
wc2018,R16,0.16337676354375003,0.25,34.64929458249999
wc2018,QF,0.16841479934374998,0.1875,10.178773683333342
wc2018,SF,0.11489494224375002,0.109375,-5.046804337142885
wc2018,Final,0.06548129168125,0.05859375,-11.754737802666671
wc2018,Champion,0.03217511485625,0.0302734375,-6.28166971870967
wc2022,R16,0.22963284403125,0.25,8.146862387499997
wc2022,QF,0.1246585722125,0.1875,33.51542815333334
wc2022,SF,0.10190723045000001,0.109375,6.827675017142843
wc2022,Final,0.045648800425,0.05859375,22.092713941333344
wc2022,Champion,0.021883445143750006,0.0302734375,27.71403926709676
euro2016,R16,0.21387802299166667,0.22222222222222224,3.7548896537500043
euro2016,QF,0.1956376034666667,0.22222222222222224,11.963078439999997
euro2016,SF,0.10121320791666666,0.1388888888888889,27.126490300000007
euro2016,Final,0.05715131776666666,0.07638888888888888,25.18372946909091
euro2016,Champion,0.04410900706666667,0.03993055555555555,-10.464295958260884
euro2020,R16,0.09828215190833334,0.22222222222222224,55.77303164125
euro2020,QF,0.161987263375,0.22222222222222224,27.105731481250007
euro2020,SF,0.099942711475,0.1388888888888889,28.041247737999996
euro2020,Final,0.06635835795,0.07638888888888888,13.130876865454532
euro2020,Champion,0.038765726083333334,0.03993055555555555,2.917138156521726
euro2024,R16,0.214031735475,0.22222222222222224,3.6857190362500014
euro2024,QF,0.15264088559166666,0.22222222222222224,31.311601483750007
euro2024,SF,0.08793698775833332,0.1388888888888889,36.68536881400001
euro2024,Final,0.06664459200833334,0.07638888888888888,12.756170461818172
euro2024,Champion,0.036229879741666665,0.03993055555555555,9.267779429565214
copa2016,QF,0.217959132775,0.25,12.816346889999997
copa2016,SF,0.137867690175,0.1875,26.47056524
copa2016,Final,0.08524946728749999,0.109375,22.057629908571442
copa2016,Champion,0.058267182900000006,0.05859375,0.5573411839999931
copa2019,QF,0.1625185744,0.22222222222222224,26.86664152
copa2019,SF,0.16913188503333335,0.22222222222222224,23.890651735000002
copa2019,Final,0.09447508663333332,0.1388888888888889,31.97793762400002
copa2019,Champion,0.010286341250000003,0.07638888888888888,86.53424418181818
copa2021,QF,0.07532227544,0.15999999999999998,52.923577849999994
copa2021,SF,0.1443893243,0.24,39.83778154166666
copa2021,Final,0.053376735919999994,0.16000000000000003,66.63954005000001
copa2021,Champion,0.12824192426,0.09000000000000001,-42.49102695555553
copa2024,QF,0.1600081271625,0.25,35.996749134999995
copa2024,SF,0.11794467485000001,0.1875,37.096173413333325
copa2024,Final,0.04880065072499999,0.109375,55.38226219428572
copa2024,Champion,0.019945090887499992,0.05859375,65.96037821866668
